报道时间,国家,地区,城市,新增确诊,新增出院,新增死亡,消息来源
2月14日,中国,湖北,黄冈市,129,77,1,央视
2月14日,中国,湖北,孝感市,135,48,8,央视
2月14日,中国,湖北,鄂州市,60,21,2,央视
2月14日,中国,湖北,荆门市,-26,13,1,央视
2月14日,中国,湖北,荆州市,16,57,4,央视
2月14日,中国,湖北,宜昌市,67,9,2,央视
2月14日,中国,湖北,襄阳市,10,7,3,央视
2月14日,中国,湖北,十堰市,24,8,1,央视
2月14日,中国,湖北,黄石市,32,24,2,央视
2月14日,中国,湖北,武汉市,2997,370,88,央视
2月14日,中国,重庆,高新区,0,1,0,央视
2月14日,中国,重庆,两江新区,0,1,0,央视
2月14日,中国,重庆,垫江县,0,2,0,央视
2月14日,中国,重庆,铜梁区,0,1,0,央视
2月14日,中国,重庆,璧山区,0,1,0,央视
2月14日,中国,重庆,开州区,0,1,0,央视
2月14日,中国,重庆,渝北区,0,1,0,央视
2月14日,中国,重庆,大渡口区,0,1,0,央视
2月14日,中国,重庆,渝中区,0,2,0,央视
2月14日,中国,重庆,涪陵区,0,1,0,央视
2月14日,中国,重庆,万州区,0,0,1,央视
2月14日,中国,重庆,奉节县,1,1,0,央视
2月14日,中国,重庆,合川区,2,1,0,央视
2月14日,中国,重庆,南岸区,1,0,0,央视
2月14日,中国,山西,晋中市,0,3,0,央视
2月14日,德国,德国,,0,1,0,央视
2月14日,中国,辽宁,沈阳市,0,1,0,央视
2月14日,中国,天津,宝坻区,0,0,0,央视
2月14日,美国,美国,,1,0,0,央视
2月13日,中国,香港,,2,0,0,新华社
2月13日,中国,甘肃,甘南州,1,0,0,央视
2月13日,中国,甘肃,定西市,1,0,0,央视
2月11日,中国,甘肃,定西市,0,1,0,定西日报
2月13日,中国,甘肃,平凉市,1,0,0,央视
2月13日,中国,辽宁,大连市,1,0,0,央视
2月13日,中国,河南,驻马店市,0,3,0,西平在线
2月13日,中国,广东,珠海市,0,6,0,珠海卫健委
2月13日,中国,河北,邯郸市,0,2,0,河北广电
2月13日,中国,河北,张家口市,0,1,0,河北广电
2月13日,中国,安徽,蚌埠市,0,1,0,阜阳发布
2月13日,中国,安徽,马鞍山市,0,2,0,阜阳发布
2月13日,中国,安徽,芜湖市,0,1,0,阜阳发布
2月13日,中国,安徽,宿州市,0,2,0,阜阳发布
2月13日,中国,安徽,铜陵市,0,1,0,阜阳发布
2月13日,中国,安徽,亳州市,0,4,0,阜阳发布
2月13日,中国,安徽,阜阳市,0,6,0,中安在线
2月13日,中国,安徽,合肥市,0,7,0,合肥发布
2月13日,中国,安徽,安庆市,0,14,0,安庆综合广播
2月13日,中国,湖南,怀化市,0,5,0,湖南卫视
2月13日,中国,湖南,永州市,0,5,0,湖南卫视
2月13日,中国,湖南,常德市,0,2,0,湖南卫视
2月13日,中国,湖南,衡阳市,0,2,0,湖南卫视
2月13日,中国,湖南,岳阳市,0,2,0,湖南卫视
2月13日,中国,湖南,株洲市,0,7,0,湖南卫视
2月13日,中国,湖南,邵阳市,0,8,0,湖南卫视
2月13日,中国,浙江,衢州市,0,3,0,衢州广电
2月13日,中国,浙江,嘉兴市,0,2,0,浙江之声
2月13日,中国,浙江,台州市,0,3,0,台州网警
2月13日,中国,浙江,宁波市,0,4,0,浙江之声
2月13日,中国,浙江,温州市,0,20,0,浙江之声
2月13日,中国,广东,惠州市,0,7,0,惠州发布
2月13日,中国,四川,凉山州,0,2,0,央视
2月13日,中国,北京,地市明细不详,0,12,0,央视
2月13日,中国,河南,商丘市,0,11,0,河南商丘市委宣传部官方微博
2月13日,新加坡,新加坡,,8,0,0,央视
2月13日,中国,广东,深圳市,0,13,0,深圳电台
2月13日,马来西亚,马来西亚,,1,0,0,央视
2月13日,中国,海南,三亚市,0,3,0,央视
2月13日,中国,辽宁,丹东市,0,1,0,央视
2月13日,中国,河南,南阳市,0,2,0,南阳卫生健康委
2月13日,中国,香港,NA,1,0,0,香港卫生防护中心
2月13日,中国,河南,信阳市,0,11,0,信阳卫生健康委
2月13日,中国,贵州,黔南州,0,2,0,央视
2月13日,中国,贵州,毕节市,0,2,0,央视
2月13日,中国,贵州,六盘水市,0,2,0,央视
2月13日,中国,贵州,贵阳市,0,1,0,央视
2月13日,中国,广东,湛江市,0,2,0,湛江发布
2月13日,中国,云南,昆明市,1,0,0,央视
2月13日,中国,广东,惠州市,0,3,0,广东卫健委
2月13日,中国,广东,中山市,0,1,0,广东中山卫生健康局
2月13日,中国,天津,宝坻区,1,0,0,天津疾控中心
2月13日,中国,天津,河东区,1,0,0,天津疾控中心
2月13日,中国,天津,南开区,2,0,0,天津疾控中心
2月13日,中国,湖北,武汉市,0,7,0,央视
2月13日,中国,江苏,无锡市,0,1,0,央视
2月13日,中国,陕西,西安市,0,1,0,西安报业
2月13日,中国,重庆,巫溪县,0,1,0,重庆卫健委
2月13日,中国,重庆,巫山县,0,1,0,重庆卫健委
2月13日,中国,重庆,城口县,0,1,0,重庆卫健委
2月13日,中国,重庆,合川区,0,1,0,重庆卫健委
2月13日,中国,重庆,万州区,0,7,0,重庆卫健委
2月13日,中国,重庆,奉节县,1,0,0,重庆卫健委
2月13日,中国,重庆,云阳县,1,1,0,重庆卫健委
2月13日,中国,重庆,潼南区,1,0,0,重庆卫健委
2月13日,中国,重庆,巴南区,1,0,0,重庆卫健委
2月13日,中国,重庆,南岸区,3,0,0,重庆卫健委
2月13日,中国,广东,广州市,0,7,0,广州市卫健委
2月13日,中国,山东,济南市,0,3,0,山东卫健委
2月13日,中国,山东,青岛市,0,1,0,山东卫健委
2月13日,中国,山东,济宁市,0,2,0,山东卫健委
2月13日,中国,山东,潍坊市,3,0,0,山东卫健委
2月13日,中国,海南,定安县,0,1,0,海南省卫健委
2月13日,中国,海南,文昌市,0,1,0,海南省卫健委
2月13日,中国,海南,临高县,0,1,0,海南省卫健委
2月13日,中国,海南,儋州市,0,1,0,海南省卫健委
2月13日,中国,海南,海口市,0,-4,0,海南省卫健委
2月13日,越南,越南,NA,1,0,0,越南卫生部
2月13日,中国,上海,宝山区,0,1,0,健康上海
2月13日,中国,上海,闵行区,0,2,0,健康上海
2月13日,中国,上海,杨浦区,0,1,0,健康上海
2月13日,中国,上海,徐汇区,0,1,0,健康上海
2月13日,中国,上海,外地来沪,2,0,0,健康上海
2月13日,中国,辽宁,本溪市,0,1,0,央视
2月13日,中国,四川,攀枝花市,0,1,0,央视
2月13日,中国,陕西,宝鸡市,0,2,0,央视
2月13日,钻石公主号,钻石公主号,NA,44,0,0,中国日报
2月13日,中国,天津,宝坻区,0,0,1,央视新闻
2月13日,中国,海南,定安县,0,0,1,央视新闻
2月13日,中国,广西,北海市,0,0,1,央视新闻
2月13日,中国,河北,石家庄市,0,1,0,央视新闻
2月13日,中国,北京,地市明细不详,0,12,0,央视新闻
2月13日,中国,北京,外地来京,1,0,0,央视新闻
2月13日,中国,北京,延庆区,0,0,0,央视新闻
2月13日,中国,北京,密云区,0,0,0,央视新闻
2月13日,中国,北京,怀柔区,0,0,0,央视新闻
2月13日,中国,北京,大兴区,1,0,0,央视新闻
2月13日,中国,北京,昌平区,5,0,0,央视新闻
2月13日,中国,北京,顺义区,0,0,0,央视新闻
2月13日,中国,北京,通州区,0,0,0,央视新闻
