relation,node1,node2
"死亡原因","character/resource/R404","character/resource/R391"
"履历","character/resource/R404","character/resource/R440"
"事迹","character/resource/R405","character/resource/R469"
"事迹","character/resource/R405","character/resource/R470"
"职责","character/resource/R405","character/resource/R468"
"死亡原因","character/resource/R405","character/resource/R391"
"履历","character/resource/R405","character/resource/R443"
"事迹","character/resource/R406","character/resource/R471"
"职责","character/resource/R406","character/resource/R476"
"死亡原因","character/resource/R406","character/resource/R448"
"履历","character/resource/R406","character/resource/R446"
"摘要","character/resource/R407","character/resource/R408"
"类型","character/resource/R407","character/resource/R409"
"获奖原因","character/resource/R41","character/resource/R72"
"摘要","character/resource/R411","character/resource/R412"
"类型","character/resource/R411","character/resource/R413"
"摘要","character/resource/R415","character/resource/R162"
"类型","character/resource/R415","character/resource/R416"
"摘要","character/resource/R417","character/resource/R144"
"类型","character/resource/R417","character/resource/R418"
"获奖原因","character/resource/R42","character/resource/R76"
"摘要","character/resource/R420","character/resource/R144"
"类型","character/resource/R420","character/resource/R421"
"摘要","character/resource/R422","character/resource/R218"
"类型","character/resource/R422","character/resource/R423"
"摘要","character/resource/R424","character/resource/R425"
"类型","character/resource/R424","character/resource/R426"
"摘要","character/resource/R427","character/resource/R428"
"类型","character/resource/R427","character/resource/R429"
"获奖原因","character/resource/R43","character/resource/R77"
"摘要","character/resource/R430","character/resource/R308"
"类型","character/resource/R430","character/resource/R431"
"摘要","character/resource/R433","character/resource/R434"
"类型","character/resource/R433","character/resource/R435"
"摘要","character/resource/R436","character/resource/R437"
"类型","character/resource/R436","character/resource/R438"
"获奖原因","character/resource/R44","character/resource/R78"
"摘要","character/resource/R440","character/resource/R441"
"类型","character/resource/R440","character/resource/R442"
"摘要","character/resource/R443","character/resource/R444"
"摘要","character/resource/R443","character/resource/R69"
"类型","character/resource/R443","character/resource/R445"
"摘要","character/resource/R446","character/resource/R303"
"类型","character/resource/R446","character/resource/R447"
"摘要","character/resource/R449","character/resource/R163"
"类型","character/resource/R449","character/resource/R450"
"获奖原因","character/resource/R45","character/resource/R75"
"获奖原因","character/resource/R46","character/resource/R73"
"事迹","character/resource/R480","character/resource/R481"
"事迹","character/resource/R480","character/resource/R482"
"职责","character/resource/R480","character/resource/R483"
"死亡原因","character/resource/R480","character/resource/R391"
"履历","character/resource/R480","character/resource/R417"
"发布","character/resource/R49","character/resource/R84"
"相关","character/resource/R49","character/resource/R85"
"相关","character/resource/R49","character/resource/R22"
"相关","character/resource/R49","character/resource/R111"
"相关","character/resource/R49","character/resource/R793"
"相关","character/resource/R49","character/resource/R87"
"相关","character/resource/R49","character/resource/R86"
"相关","character/resource/R49","character/resource/R794"
"参与事件","character/resource/R491","character/resource/R498"
"参与事件","character/resource/R491","character/resource/R495"
"发表","character/resource/R491","character/resource/R538"
"发表","character/resource/R491","character/resource/R541"
"发表","character/resource/R491","character/resource/R540"
"发表","character/resource/R491","character/resource/R539"
"发表","character/resource/R491","character/resource/R542"
"事迹","character/resource/R491","character/resource/R543"
"事迹","character/resource/R491","character/resource/R544"
"出生地","character/resource/R491","character/resource/R547"
